Bound,MEADOW,SWAMP,ICE,SAND,DEADWATER,STEAMVENTS,COLUMNS,AMBER,STONE,POOLS,TWILIGHT,OBSIDIAN
Song,rock,happy,ice,rock,ice,happy,ice,happy,rock,,,
ColorOverlay 1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
ColorOverlay 2,-7|0|0,0|-3|0,-2|1|-2,3|2|0,0|0|-6,-1|-1|-3,-4|0|0,-7|0|0,-7|0|0,-7|0|0,-7|0|0,-7|0|0
ColorOverlay 3,-7|0|7,0|-2|-2,1|-4|2,3|0|-4,0|-2|-1,2|-3|-4,-4|-4|0,-7|0|7,-7|0|7,-7|0|7,-7|0|7,-7|0|7
ColorOverlay 4,-2|-7|-7,0|-5|0,-6|3|3,6|-3|-4,-1|-3|-1,-3|0|-3,0|-4|0,-2|-7|-7,-2|-7|-7,-2|-7|-7,-2|-7|-7,-2|-7|-7
ColorOverlay 5,0|-5|0,0|-6|3,-5|1|-5,0|2|-4,0|0|-2,-1|0|-1,0|-4|-4,0|-5|0,0|-5|0,0|-5|0,0|-5|0,0|-5|0
ColorOverlay 6,-4|-7|4,0|-7|0,1|-2|-5,0|2|3,3|-5|-5,-2|0|0,0|0|-4,-4|-7|4,-4|-7|4,-4|-7|4,-4|-7|4,-4|-7|4
ColorOverlay 7,-7|-7|3,3|-4|6,5|-4|-5,0|-3|6,0|-7|0,-2|-2|-5,-4|0|-4,-9|-9|3,-9|-9|3,-9|-9|3,-9|-9|3,-9|-9|3
ColorOverlay 8,0|0|7,0|3|4,5|-4|0,-4|-5|6,3|-1|-5,4|-7|-9,-7|-7|-5,0|0|7,0|0|7,0|0|7,0|0|7,0|0|7
ColorOverlay 9,-1|0|-5,-3|-4|-5,-3|-4|-6,-7|-6|2,-1|-6|-7,-4|-4|-7,,-1|0|-5,-1|0|-5,-1|0|-5,-1|0|-5,-1|0|-5
ColorOverlay 10,-1|3|-9,-6|-7|4,-9|-5|-5,-7|-2|-1,-7|-7|-6,-7|0|-7,,-1|3|-9,-1|3|-9,-1|3|-9,-1|3|-9,-1|3|-9
Size min 3,3,5,3,5,3,3,3,3,3,3,3,3
Size max 16,8,8,8,8,8,5,8,8,8,8,8,8
Cinch min 3,3,3,3,4,3,5,3,3,3,3,3,3
Cinch max 8,6,5,6,6,5,6,5,6,6,6,6,6
Maxwiggle min 40,40,80,60,40,40,80,60,40,40,40,40,40
Maxwiggle max 120,120,120,120,80,120,120,120,120,120,120,120,120
|| Chance of Plats,80,60,70,80,10,40,70,80,80,80,80,80
If? Iteration min 6,10,6,9,6,6,3,9,10,10,10,10,10
If? Iteration max 15,15,15,14,9,15,8,14,15,15,15,15,15
If? Length min 3,5,4,3,3,3,3,3,5,5,5,5,5
If? Length max 9,9,8,7,6,9,6,7,9,9,9,9,9
|| Chance of Pillars,20,40,80,10,25,40,80,20,20,20,20,20
If? Number Min 10,10,20,25,10,10,10,40,10,10,10,10,10
If? Number Max 50,25,40,40,25,15,40,70,25,25,25,25,25
If? Height Min 2,2,2,4,8,2,2,4,2,2,2,2,2
If? Height Max 10,6,8,10,10,10,7,10,6,6,6,6,6
|| Chance of Clumps?,20,70,50,2,50,30,10,30,30,30,30,30
If? Clumpsize Min 3,6,3,3,2,3,4,2,6,6,6,6,6
If? Climpsize Max 9,7,5,5,4,7,5,4,5,5,5,5,5
If? Clumpnum Min 50,10,20,0,20,30,10,0,10,10,10,10,10
If? Clumpnum Max 150,40,40,30,30,70,20,20,20,20,20,20,20
|| Chance of Pools,20,60,20,10,90,70,20,25,25,25,25,25
If? Pools Min 0 ,20,20,10,30,30,20,10,0,0,0,0,0
If? Pools Max 60,50,40,50,50,60,40,30,40,40,40,40,40
